Name,URL,Rating,City,Location,Jobs,Reviews,Best About,Description,Company Overview,General Information,Key Skills,Why You'll Love Working Here
MB Bank,https://itviec.com/companies/mb-bank/review,4.9,Ha Noi,"Tòa nhà MB, số 18 Lê Văn Lương, Phường Yên Hòa, Ha Noi",34,124,Training & learning,Ngân hàng TMCP Quân Đội (MB),"Ngân hàng TMCP Quân Đội (MB)
Về chúng tôi
Với tầm nhìn ""Trở thành Doanh nghiệp số, Tập đoàn tài chính dẫn đầu"" cùng mục tiêu ""Top 3 thị trường về hiệu quả, hướng đến Top đầu châu Á”, MB đã và đang tiếp tục xây dựng, phát triển trong và ngoài nước, nhằm đáp ứng yêu cầu chuyển dịch số, mục tiêu tăng trưởng kinh doanh và nâng cao năng lực cạnh tranh.
Sở hữu đội ngũ hơn 10.000 nhân sự, trong đó có hơn 1000 MBITers - chiếm 10% tổng nhân sự toàn Ngân hàng - nằm trong top đầu các ngân hàng tại Việt Nam về tỉ lệ nhân sự thuộc nhóm Công nghệ và Đổi mới, MB đang không ngừng đầu tư mạnh mẽ cho hệ thống, con người và kinh doanh nền tảng nhằm đem đến những trải nghiệm xuất sắc nhất cho khách hàng, xây dựng môi trường làm việc hạnh phúc, bền vững cho người MB.
Tự hào là Ngân hàng Số số 01 Việt Nam, được phục vụ hơn 30 triệu khách hàng cá nhân và doanh nghiệp.
Việt Nam đang sở hữu 07 ứng dụng có trên 10 triệu người sử dụng (Theo số liệu của Bộ Thông tin và Truyền thông năm 2023), MB là Ngân hàng duy nhất nằm trong danh sách đầy tự hào này. Tính đến hết năm 2024, MB chính thức chinh phục cột mốc 30 triệu khách hàng, tương đương 30% dân số Việt Nam, và đã cùng người dùng thực hiện 6,5 tỷ giao dịch trên kênh Số - giữ vững vị trí Top 1 quy mô NAPAS (Công ty Cổ phần Thanh toán Quốc gia Việt Nam). Trong đó, riêng ứng dụng App MBBank ghi nhận tần suất đỉnh chạm ngưỡng 20 triệu giao dịch/ngày, cùng hệ thống ổn định, an toàn, bảo mật.
Môi trường làm việc bền vững, hạnh phúc
Năm 2024 ghi dấu cột mốc MB30 về văn hoá và con người với 02 giải thưởng danh giá:
“Sustainable Workplace Awards – Doanh nghiệp có môi trường làm việc bền vững”
do HR Asia Awards (Tạp chí nhân sự uy tín hàng đầu Châu Á) và
“Happiness At Work – Doanh nghiệp có Nguồn nhân lực Hạnh phúc”
do Anphabe (Tổ chức tư vấn tiên phong về giải pháp Thương hiệu Nhà tuyển dụng và Môi trường làm việc) trao tặng.
Đặc biệt, MB đã chính thức được vinh danh trong hạng mục “Vietnam Best IT Companies 2025” do chính các ứng viên của ITviec bình chọn. Và chúng tôi vẫn đang liên tục tìm kiếm những nhân tố xuất sắc, sáng tạo, đồng thời cam kết mang đến những giá trị, trải nghiệm tốt nhất cho nhân viên khi gia nhập tổ chức của mình.
Company website
Facebook Page","Company type
IT Product
Company industry
Banking
Company size
1000+
employees
Country
Vietnam
Working days
Monday - Friday","Our Key Skills
Java
JavaScript
Python
Oracle
AngularJS
ReactJS
Mobile
: React Native (Javascript), Flutter (Dart), Mini App
Web:
AngularJs, ReactJs, Micro FrontEnd, HTML/Javascript/CSS
Back-end:
SpringBoot (Java), Golang, Hasura, GraphQL, MongoDB, Oracle, Microservice
System & Cloud
: AWS, Google Cloud, Viettel Cloud, Kubernetes, Microsoft Azure, Multi DC","Mức lương cạnh tranh, hấp dẫn
Môi trường làm việc chuyên nghiệp, thân thiện
Được làm việc với các hệ thống hiện đại, tiên tiến
+2
Trải nghiệm Thu nhập hấp dẫn với gói đãi ngộ toàn diện:
Thưởng thành tích tháng 13; Thưởng thành tích theo kết quả công việc 06 tháng, 1 năm ; Thưởng các dịp lễ tết trong năm ; Thưởng theo danh hiệu cá nhân và tập thể…
Du lịch nghỉ dưỡng hàng năm
Khám sức khỏe định kì
Gói bảo hiểm sức khỏe cá nhân và người thân (MIC)
Quà tặng và ngày nghỉ sinh nhật hưởng nguyên lương
Cơ hội nghề nghiệp và phát triển bản thân:
Được thử sức với các nền tảng công nghệ mới, tham gia vào những dự án chuyển đổi lớn của ngân hàng
Có cơ hội học hỏi từ các Chuyên gia, Lãnh đạo nội bộ hàng đầu tại MB trong lĩnh vực IT, Tài chính ngân hàng
Được trải nghiệm các phương pháp học tập mới và phát triển năng lực theo lộ trình công danh.
Hưởng các chính sách hỗ trợ, khuyến khích học tập, nâng cao trình độ và phát triển bản thân (chứng chỉ nghề quốc tế...)
Môi trường làm việc lý tưởng với:
Những người cộng sự thân thiện và tài năng
Cơ sở vật chất, không gian làm việc xanh và hiện đại.
View more
View less"
Bosch Global Software Technologies Company Limited,https://itviec.com/companies/bosch-global-software-technologies-company-limited/review,3.4,Ho Chi Minh,"364 Cong Hoa street, Tan Binh, Ho Chi Minh",19,304,Office & workspace,The Bosch Group is a leading global supplier of technology and services,"The Bosch Group is a leading global supplier of technology and services
The Bosch Group
is a leading global supplier of technology and services. Its operations have been divided into four business sectors: Automotive Technology, Industrial Technology, Consumer Goods, and Energy and Building Technology.
The Bosch Group comprises Robert Bosch GmbH and its roughly 460 subsidiaries and regional companies in some 60 countries. If its sales and service partners are included, then Bosch is represented in roughly 150 countries.
Bosch Global Software Technologies Company Limited (BGSV) i
s 100% owned subsidiary of Robert Bosch GmbH - one of the world’s leading global suppliers of technology and services, offering end-to-end Engineering, IT, and Business Solutions.
Starting its operation from 2010 at Etown 2 in HCMC, BGSV is the first software development center of Bosch in Southeast Asia. BGSV nowadays have over 4,000 associates, with a global footprint and presence in the US, Europe, and the Asia Pacific region.
With our unique ability to offer end-to-end solutions that connect sensors, software, and services, we enable businesses to move from the traditional to digital or improve businesses by introducing a digital element in their products and processes.
Company website
Facebook Page","Company type
IT Product
Company industry
IT Services and IT Consulting
Company size
1000+
employees
Country
Germany
Working days
Monday - Friday
Overtime policy
No OT","Our Key Skills
Embedded
C language
C++
Java
.NET
SAP
Embedded Software for Automotive Applications
Enterprise Software development using Java & .Net
SAP Consulting","Committed 13th-mth bonus + attractive yearly bonus
Premium Healthcare for you and 2 family members
16++ days of paid leave per year
+3
Why
BOSCH
?
Because we do not just follow trends, we
create
them. Together we turn ideas into reality, working every day to make the world of tomorrow a better place. Do you have high standards when it comes to your job? So do we. At Bosch, you will discover more than just work.
Benefits and Career Opportunities
Working in one of the
Best Places to Work
in Vietnam and Top 30 of the
Most Innovative Companies
all over the world
English-speaking
environment, with opportunity to be part of innovation team and work in global projects
Onsite opportunities
Engage in our
diverse training
programs which surely help strengthen both your personal and professionalism
Flexible
working time
13th-month
salary bonus + attractive
performance bonus
(you'll love it!) + annual performance appraisal
100% offered salary
and mandatory
social insurances
in 2-month probation
15++ days
of annual leave + 1-day of birthday leave
Premium health insurance for employee and
02 family members
Lunch and parking allowance
Good benefits of company activities such as: football, badminton, yoga, Aerobic, team building…
View more
View less"
NAB Innovation Centre Vietnam,https://itviec.com/companies/nab-innovation-centre-vietnam/review,4.6,Ho Chi Minh,"The Capital Place, 29 Lieu Giai Street, Ngoc Ha Ward, Hanoi City, Vietnam, Ha Noi",17,69,Office & workspace,The NAB Innovation Centre Vietnam is owned by NAB - Australia’s largest ...,"The NAB Innovation Centre Vietnam is owned by NAB - Australia’s largest business bank.
The NAB Innovation Centre Vietnam (NAB Vietnam) is part of National Australia Bank (NAB) Technology & Enterprise Operations division. The mission of the NAB Vietnam is to connect the talents of Vietnam to NAB and together improve the lives of those in the Vietnam technology community.
As Australia’s largest business bank, NAB is focused on delivering great experiences for customers. To do this it uses modern technologies, alongside great technology talent including leading software engineers, cloud experts and quality engineers.
We’re working on interesting projects to help NAB’s 10 million customers:
By joining us, local software engineers will have access to a wide variety of projects and opportunities, working closely with colleagues in Australia and with global partners such as AWS and Microsoft to take advantage of the latest modern technologies.
We’re investing in you:
We strive to create not only a great place to work, but also the best technology centre for tech engineers to thrive.
It’s more than just a career!
We believe in people with ideas and dreams, and we want you to achieve your aspirations. If you have an appetite to learn, grow and elevate others around you, this is the place for you!
Company website
Facebook Page","Company type
IT Product
Company industry
Banking
Company size
1000+
employees
Country
Australia
Working days
Monday - Friday
Overtime policy
No OT","The latest Cloud & Micro-services technologies
NodeJS
ReactJS
Java
Agile
DevOps
Cloud
Languages & Frameworks
JavaScript ES6, TypeScript, Node.js, React - Redux, Java, Spring Boot, Serverless, .NET
Cloud Services - AWS, Azure
Lambda, Postgres, S3, API Gateway, CLI, SNS/SQS, EC2, ECS, Cloud Watch, Splunk, SignalFX, AppDynamics
DevOps
Jenkins, Artifactory, SonarQube, GitHub, CloudFormation, Kubernetes, CHEF, Hashicorp Sentinel, Packer, Terraform, Harshicorp Vault, KONG gateway, Venafi
Collaboration
Microsoft Outlook, JIRA, Confluence, Microsoft Teams, ServiceNow, Rally","Very competitive remuneration package
Build products for millions of users in Australia
Hybrid and flexible working environment
+3
THE BENEFITS AND PERKS
1. Generous compensation and benefit package
Attractive salary and benefits
20-day annual leave and 7-day sick leave, etc.
13th month salary and Annual Performance Bonus
Premium healthcare for yourself and family members
Monthly allowance for team activities
Premium welcome kit and frequent appreciation gifts
Extra benefits for long-term employees
2. Exciting career and development opportunities
Large scale products with modern technologies in banking domain
Clear roadmap for career advancement in both technical and leadership pathways
Well-structured  learning and development programs (technical and soft skills)
Sponsored certificates in both IT and banking/finance
Premium account on Udemy
English learning with native teachers
Opportunity for traveling & training in Australia
3. Professional and engaging working environment
Hybrid working model and good work-life balance
Well-equipped & modern Agile office with fully stocked pantry
Special programs to improve your physical and mental health
Annual company trip and events
A solid talented team behind you – great people who love what they do
If this excites you, let's have a chat over a cup of coffee!
View more
View less"
One Mount Group,https://itviec.com/companies/one-mount-group/review,4.4,Ha Noi,"Tower 2 (T26) Times City, 458 Minh Khai, Ha Noi",11,34,Office & workspace,ONE MOUNT | GROW TOGETHER,"ONE MOUNT | GROW TOGETHER
CÂU CHUYỆN ONE MOUNT
One Mount Group được thành lập với tham vọng kiến tạo hệ sinh thái công nghệ lớn nhất Việt Nam, cung cấp các giải pháp và dịch vụ xuyên suốt chuỗi giá trị, từ lĩnh vực dịch vụ tài chính, phân phối, bất động sản và bán lẻ.
SẢN PHẨM ONE MOUNT
Bắt đầu với
OneHousing,
hệ sinh thái Bất động sản toàn diện và đáng tin cậy hàng đầu Việt Nam. OneHousing cam kết, sẽ luôn là đặt lợi ích của khách hàng lên trên hết và là Người đồng hành đáng tin cậy trong hành trình cùng bạn vươn tới Thịnh Vượng và Hạnh Phúc - từ nơi gọi là Nhà.
OneU,
nền tảng phong cách sống toàn diện thuộc Hệ sinh thái Tài chính - Tiêu dùng Techcombank & One Mount. Chỉ với một ứng dụng OneU, khách hàng có thể dễ dàng tiêu điểm, đổi voucher ăn uống tại 450+ thương hiệu yêu thích, đặt xe, đặt món giao nhanh, đổi dặm bay Lotusmiles, mua vé sự kiện giải trí và thanh toán tại hệ thống nhà hàng Golden Gate.
OneShop
, đối tác đồng hành trên hành trình làm giàu của 5,2 triệu tiểu thương tại Việt Nam, hỗ trợ toàn trình trong kinh doanh không chỉ từ nguồn nhập hàng chính hãng, giá tốt mà còn hỗ trợ quá trình vận hành cửa hàng.
TRẢI NGHIỆM CÙNG NHAU VƯƠN TỚI ĐỈNH CAO
Với sứ mệnh tạo ra hệ sinh thái công nghệ lớn nhất Việt Nam, kết nối con người và doanh nghiệp tại nơi giao thoa giữa công nghệ và nhân văn,
One Mount đang là nơi quy tụ của hơn 1.500 nhân sự xuất sắc toàn cầu
. Tập đoàn hiện đang là điểm đến của đội ngũ nhân tài người Việt từng đảm nhận các vai trò lãnh đạo tại các tập đoàn đa quốc gia trên thế giới, chung tầm nhìn ""chất xám Việt"" trở về xây dựng đất nước.
Sự đa dạng trong nhóm tuổi, quốc tịch, kinh nghiệm làm việc, phong cách cá nhân của hơn 1.500 thành viên góp phần tạo nên
môi trường làm việc đa văn hóa và năng động
tại One Mount, là nguồn cảm hứng cho những sáng kiến bứt phá không giới hạn, khuyến khích sự tìm tòi, khám phá và không ngừng phát triển kỹ năng cá nhân. One Mount tham vọng xây dựng cộng đồng nhân tài toàn cầu tại Việt Nam - nơi
mỗi thành viên đều được làm việc, học hỏi và truyền cảm hứng từ những người giỏi nhất
.
Tìm hiểu môi trường làm việc One Mount tại:
https://www.facebook.com/OneMountCareers
Company website
Facebook Page","Company type
IT Service and IT Consulting
Company industry
IT Services and IT Consulting
Company size
1000+
employees
Country
Vietnam
Working days
Monday - Saturday
Overtime policy
No OT","Skills We Use
Cloud
DevOps
Database
SQL
Java
Oracle","Môi trường đẩy nhanh phát triển năng lực
Nơi quy tụ nhân tài người Việt trên toàn cầu
Văn hóa thành công, đề cao sáng kiến
+3
Cơ hội phát triển sự nghiệp rộng mở trong Hệ sinh thái Techcombank & Masterise Group
Chương trình vay ưu đãi với lãi suất cạnh tranh và chính sách ân hạn gốc phù hợp với từng Sản phẩm vay.
Lương tháng 13 với thưởng hiệu suất hàng năm, thưởng dự án, thưởng doanh số (tùy theo vị trí)
Phụ cấp ăn trưa: 730.000 VND/tháng
Phép năm: Lên đến 20 ngày/năm (tùy theo cấp bậc)
Y tế: Bảo hiểm xã hội, bảo hiểm cao cấp
Đánh giá tăng lương và thăng tiến hàng năm
Lộ trình sự nghiệp đa dạng: Cơ hội quản lý hoặc chuyên gia và luân chuyển chức năng
Được cấp laptop, màn hình và các thiết bị/tài khoản/công cụ cần thiết khác cho công việc
Môi trường, văn hóa làm việc sáng tạo, hiệu suất cao. Không gian làm việc mở và hợp tác thúc đẩy cả sự tập trung cá nhân và các hoạt động làm việc nhóm.
Khu vực thư giãn: chơi game, bóng bàn, yoga, phòng tập thể dục, phòng tắm.
Teambuilding hàng quý/hàng năm và các sự kiện nội bộ hấp dẫn.
View more
View less"
KMS Technology,https://itviec.com/companies/kms-technology/review,4.0,Ho Chi Minh,"02 Tan Vien, Tan Son Hoa, Ho Chi Minh",8,257,Office & workspace,Building Products & Systems that Shape the Future,"Building Products & Systems that Shape the Future
KMS Technology
is a strategic engineering company helping businesses turn bold ideas into high-impact solutions—faster. Founded in 2009 as a U.S.-based services company, we’ve grown into a global organization with locations in the US, Vietnam, Mexico and Poland. KMS is trusted globally for the quality of our engineering and consulting services. We bring deep expertise in product development and quality assurance, Data & AI-native engineering, and delivery excellence to every engagement. Our mission is to help customers build what’s next—accelerating innovation, crafting brilliant solutions, and creating  real-world impact. At KMS, we believe sustainable growth is built on the success of our clients and employees, and in making a lasting contribution to our communities.
More about KMS Technology:
Website:
https://kms-technology.com
LinkedIn:
https://www.linkedin.com/company/kms-technology
Company website
Facebook Page","Company type
IT Outsourcing
Company industry
IT Services and IT Consulting
Company size
1000+
employees
Country
United States
Working days
Monday - Friday
Overtime policy
No OT","Java
JavaScript
.NET
QA QC
NodeJS
Database","Inspired Leadership Team and Talented Colleagues
Attractive Salary and Benefits
Hybrid mode available and flexible working time
+1
Want to be the Best? Join KMS!
It’s positive to claim we’re one of the top IT companies in Vietnam:
From Vietnam, we have crafted brilliant products for millions of global users
We build awesome global products to conquer the world from Vietnam: QASymphony, Kobiton, Katalon, Grove HR, Visily and many more to come
We’re committed to investing in our people and building a workplace you’ll love coming to every day.
Perks You'll Enjoy
Working in one of the Best Places to Work in Vietnam
Building large-scale & global software products
Working & growing with Passionate & Talented Team
Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions & Consulting
Attractive Salary and Benefits
Performance appraisals every year and performance bonus
Remote work available and flexible working time
Onsite opportunities: short-term and long-term assignments in North American (U.S, Canada), Europe, Asia.
Various training on hot-trend technologies, best practices and soft skills
Premium healthcare insurance for you and your loved ones
Company trip, big annual year-end party every year, team building, etc.
Fitness & sport activities: football, tennis, table-tennis, badminton, yoga, swimming…
Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…
Free in-house entertainment facilities (foosball, ping pong, gym…), coffee, and snack (instant noodles, cookies, candies…)
And much more, join us and let yourself explore other fantastic things!
View more
View less"
Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),https://itviec.com/companies/panasonic-vietnam-group-panasonic-r-d-center-vietnam-prdcv/review,4.3,Ha Noi,"Lotte Tower, 54 Lieu Giai, Ha Noi",7,91,Office & workspace,Unlock PRDCV Potential for Future Growth!,"Unlock PRDCV Potential for Future Growth!
Gia nhập Panasonic R&D Center Việt Nam (PRDCV).
Cùng Panasonic vươn cao tương lai sự nghiệp: Làm việc tại công ty thuộc “VIETNAM’S 50 LEADING IT COMPANIES”; “Let’s Challenge Together! And Update Yourself!”
Để bắt kịp với sự thay đổi liên tục của công nghệ mới, Panasonic không ngừng đón nhận thử thách, cho ra đời những sản phẩm mới, phát triển và hoàn thiện công ty. Với phương châm ""Hoàn thiện con người trước khi tạo ra sản phẩm"", Panasonic luôn đặt yếu tố con người lên hàng đầu, làm nền tảng cho doanh nghiệp. Chính vì vậy, mọi công dân Panasonic đều được tạo điều kiện học hỏi và phát triển để có thể tiến cao hơn trên nấc thang sự nghiệp của mình. Panasonic sẽ là lựa chọn đúng đắn của bạn, vì sao? Ở Panasonic, nhân viên sẽ làm việc trong môi trường với sự giao thoa giữa văn hóa Nhật Bản, Việt Nam và thế giới:
Lộ trình phát triển sự nghiệp đa chiều;
Cơ hội đào tạo thường xuyên Thời gian làm việc linh hoạt (Giờ chính: 9:00-16:00; 5 ngày từ Thứ Hai - Thứ Sáu/tuần)
Kiểm tra Sức khỏe hàng năm và các gói bảo hiểm
Mức lương hấp dẫn, chế độ thưởng dựa trên năng lực và sự cống hiến
Văn phòng Hạng A, cơ sở vật chất hiện đại, không gian mở.
Company website
Facebook Page","Company type
IT Product
Company industry
Software Development Outsourcing
Company size
151-300
employees
Country
Japan
Working days
Monday - Friday
Overtime policy
Extra salary for OT","Our Key Skills
English
Embedded
Cloud
Java
Data Analysis
Android","Lộ trình phát triển sự nghiệp đa chiều
Cơ hội đào tạo, công tác tại Nhật, Singapore, Mỹ..
Mức lương hấp dẫn, chế độ thưởng dựa trên năng lực
+2
𝐏𝐚𝐧𝐚𝐬𝐨𝐧𝐢𝐜 𝐑&𝐃 𝐂𝐞𝐧𝐭𝐞𝐫 𝐕𝐢𝐞𝐭𝐧𝐚𝐦 (𝐏𝐑𝐃𝐂𝐕) has been a key member of Panasonic Holdings since its establishment in Hanoi in April 2007. We specialize in delivering cutting-edge solutions across digital platforms, industrial systems, IoT, cloud computing, AI, and smart-home technologies, supporting both Panasonic subsidiaries and external clients worldwide.
💼 Why Join PRDCV?
𝟏. 𝐎𝐮𝐭𝐬𝐭𝐚𝐧𝐝𝐢𝐧𝐠 𝐁𝐞𝐧𝐞𝐟𝐢𝐭𝐬 & 𝐒𝐮𝐩𝐩𝐨𝐫𝐭
Full salary and insurance coverage during a 2‑month probation period
Competitive salary, bonus, and diversified allowances
24/7 personal accident & medical care + annual health checks
2. 𝐂𝐚𝐫𝐞𝐞𝐫 𝐆𝐫𝐨𝐰𝐭𝐡 & 𝐆𝐥𝐨𝐛𝐚𝐥 𝐄𝐱𝐩𝐨𝐬𝐮𝐫𝐞
Clear multi‑track career roadmap
Various Training Programs (Language, Technical, Soft‑skills, On‑the-job, Udemy, etc...)
Collaborative training programs with global companies within the Panasonic Group
Annual Programmers’ Day events
Overseas business trips (US, EU, Japan, Singapore, Mexico, Thailand and other Asian countries…)
3. 𝐖𝐨𝐫𝐤‑𝐋𝐢𝐟𝐞 𝐇𝐚𝐫𝐦𝐨𝐧𝐲
Core hours: 9:00–16:00 days/week from Monday to Friday.
Flexible lunchtime
Additional special holidays
Regular team-building events: Birthday Parties, Sports Day, Family Day, Happy Fridays, Year-End Parties, ...
Summer Vacation (Trip to famous tourist spots, domestic/ overseas)
4. 𝐆𝐫𝐚𝐝𝐞‑𝐀 𝐂𝐫𝐞𝐚𝐭𝐢𝐯𝐞 𝐖𝐨𝐫𝐤𝐬𝐩𝐚𝐜𝐞
Top‑tier facilities, flexible layouts, and plenty of spaces for focused and casual work
🚀 Join Us at PRDCV
If you're looking to:
✨ Grow in a vibrant, innovation-led environment,
✨ Collaborate with a global team on future-forward technologies,
✨ Enjoy comprehensive benefits and work-life balance,
View more
View less"
Ngân Hàng Á Châu | ACB,https://itviec.com/companies/ngan-hang-a-chau-acb/review,3.8,Ho Chi Minh,"442  Nguyễn Thị Minh Khai, Ho Chi Minh",7,23,Office & workspace,Asia Commercial Bank (ACB),"Asia Commercial Bank (ACB)
We’re building a startupat ACB to serve our millions of customers. We’re looking for exceptional talent to drive growth. Shape the management team that will deliver world-class technology to acquire the next million customers.
We’re thinkers and doers, and like people who can be both player and coach.
As one of the largest consumer banks in Asia, we’re investing in the leading people, technologies and practices to improve each customer’s financial lives. Join the 11,000 team members at ACB and build the fintech company of the future.
Company website
Facebook Page","Company type
IT Product
Company industry
Banking
Company size
1000+
employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT","Our Key Skills
C#
.NET
Java
JavaScript
Oracle
Core banking, digital marketing, data analyzing","13 Monthly Base Salary
Training
Recorgnition
+3
• Average 15 Monthly Base salary per year
• ACB Health Care.
• Meal Allowance.
• Preferential loan as regulated by ACB
• Yearly Medical Checkup & Team building activities.
• Professional and Transparent Working Environment
View more
View less"
VNG Corporation,https://itviec.com/companies/vng-corporation/review,4.0,Ho Chi Minh,"Phố Nguyễn Chí Thanh, Phường Láng Thượng, Ha Noi",6,265,Office & workspace,Build Technologies and Grow People. From Vietnam to the world.,"Build Technologies and Grow People. From Vietnam to the world.
VNG is Vietnam's leading tech firm with a diverse ecosystem of products serving the needs of 100 million customers in Vietnam and many countries globally. VNG focuses on four main businesses, including online games, communications & media, fintech, and digital business. VNG has developed several digital products that contribute to businesses' journey of digital transformation and help Vietnamese citizens connect, transact and entertain. At the same time, the company also concentrates on long-term development by researching and exploring further opportunities in Data Centers and AI. Our passion for leading the change and embracing challenges has driven us to our mission: “Build Technology and Grow People. From Vietnam to the World"". VNG currently has offices in Vietnam: Ho Chi Minh City, Hanoi, Da Nang, and many other offices around the world.
Website
https://career.vng.com.vn
Company website
Facebook Page","Company type
IT Product
Company industry
Software Products and Web Services
Company size
1000+
employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT","Our Key Skills
Java
Android
iOS
C++
QA QC","Attractive salary & benefits you'll love
Building large-scale products
Working in one of the best places to work in VN
+3
View more
View less"
NAVER VIETNAM,https://itviec.com/companies/naver-vietnam/review,4.8,Ho Chi Minh,"4th and 9th Floor, Block B, Viettel Building, 285 Cach Mang Thang Tam Street, Hoa Hung Ward, Ho Chi Minh city, Hoa Hung, Ho Chi Minh",6,256,Training & learning,NAVER VIETNAM,"NAVER VIETNAM
About NAVER Corp and NAVER Vietnam:
NAVER Corp
NAVER Corp is South Korea’s leading technology company, best known for the NAVER search engine, LINE messenger (200M+ users), SNOW app, and NAVER WEBTOON. In 2018, NAVER was ranked 9th most innovative company globally by Forbes and listed in Fortune's top 6 Future 50.
NAVER Vietnam
In 2021, NAVER expanded into Vietnam to tap into the country's growing Information Technology market by initially partnering with two leading universities in Hanoi. Later that year, the
NAVER Vietnam Development Center (NVDC)
was established in two major cities: Ho Chi Minh City and Hanoi.
With rapid growth, NAVER Vietnam is currently delivering a range of large-scale services, including NAVER Financial (Npay), NAVER Clip, Weverse, NAVER WORKS, and other Global NAVER platforms. Upholding the core values of ""
Autonomy – Challenge – Teamwork
"", the company is committed to becoming one of Asia’s most advanced development centers.
In both 2023 and 2025, NAVER Vietnam was honored as the
Best IT Company in Viet Nam
by ITViec.com — a remarkable milestone that reflects its rapid growth and innovation.
Learn more about us:
https://navercorp.vn/
Company website
Facebook Page","Company type
IT Product
Company industry
Software Products and Web Services
Company size
151-300
employees
Country
South Korea
Working days
Monday - Friday
Overtime policy
No OT","Swift
Java
JavaScript
C language
ReactJS
Kotlin","Healthcare plan for you and your family
A work-life balance (Hybrid, Workation)
Competitive package
+3
From solid welfare programs to autonomy over working time and place, we create the culture in which we work. By joining NAVER VIETNAM, you will be involved in:
A work-life balance
: Hybrid working model with modern city-center offices, 14 days of annual leave (increasing yearly) and an additional day off for your birthday.
Competitive income package
: Comprehensive package with full salary insurance, 13th-month salary, annual performance appraisals, and incentive bonuses.
AI-powered development tools:
Company-sponsored access to
Claude Code Enterprise
, empowering developers with advanced AI support to enhance productivity and accelerate development workflows.
Learning and development opportunities
: Monthly book allowance and an annual budget for online/offline courses (Udemy, Coursera, etc.) in tech, languages, and soft skills,...
Protecting and enhancing healthcare plan for you and your family
: Premium insurance for employees and 2 family members, plus annual health check-ups.
Employee's engagement activities
: Respectful, engaging culture with monthly team budgets, social clubs, and celebration gifts.
Working environment:
Driven by ""Autonomy
–
Challenge
–
Teamwork"" values, with talented colleagues, supportive leaders, and modern devices supported such as Macbook Pro 14, Macbook Air M4, Dell 7450 Ultra 7,...
Dedication bonus:
Recognizing your commitment and contributions with special bonuses and benefits at key work milestones.
Other benefits
: Home office setup allowance, happy hours, attractive referral bonus, and more!
View more
View less"
Scandinavian Software Park,https://itviec.com/companies/scandinavian-software-park/review,4.9,Ha Noi,"Tầng 19, tòa nhà Peakview Tower, 36 Hoàng Cầu, Ô Chợ Dừa, Hà Nội, Dong Da, Ha Noi",6,86,Office & workspace,Scandinavian Software Park is a tech hub for Scandinavia’s market leadin...,"Scandinavian Software Park is a tech hub for Scandinavia’s market leading SaaS companies.
Are you a passionate software developer looking to grow your career in the exciting world of SaaS? Look no further than our Scandinavian companies, leading the market with their innovative and proven products poised for global success.
Join our team and benefit not only from a great company culture, but also from the support of Monterro, the largest private equity tech fund in the Nordics, as we work together to achieve our ambitious goals. With a work-life balance and a Scandinavian culture that values your individuality, you'll collaborate with experienced software engineers from around the world to make your mark on the industry.
Don't miss out on the chance to discover your full potential and help us become global players.
Company website
Facebook Page","Company type
IT Product
Company industry
Software Products and Web Services
Company size
151-300
employees
Country
Sweden
Working days
Monday - Friday
Overtime policy
No OT","Highly Passionate Software Engineers
C#
JavaScript
Java
PHP
QA QC
SQL
At Scandinavian Software Park, we leverage the latest tech stack to create innovative solutions for a wide range of industries worldwide, bringing together skilled software engineers from Scandinavia's top SaaS companies.","Global growth with experienced engineers
Innovative, balanced, creative culture
Competitive salary, benefits, training
+3
What will you get?
Join our innovative and market-leading Scandinavian SaaS company and accelerate your growth alongside experienced software engineers from around the world. We value creativity, innovation, and work-life balance in our Scandinavian work culture, and offer a competitive salary with 100% official salary during the probation period, annual reviews, and 13th month salary.
We prioritize the well-being of our employees with premium healthcare and accident insurance, as well as a wellness package to help you stay healthy and wealthy. You'll also have the chance to participate in exciting company outings, team-building activities, and on-site training opportunities in the Nordic region.
Work in a modern and supportive environment where your individuality is valued, and collaborate with a talented team on a mission to become global players in the industry.
View more
View less"
